OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
204,31,1185,0.00236362017,0
205,31,1716,0.00078590419,0
206,32,12,0.00000000000,1
207,32,31,0.00524136075,0
208,32,560,0.00313773751,0
209,32,1694,0.00000000000,1
210,32,1716,0.00313768137,0
211,32,1717,0.00524327366,0
212,33,657,0.00167585814,0
213,33,1732,0.00257023316,0
214,33,1790,0.00886514700,0
215,33,1841,0.00907121716,0
216,33,1927,0.00090552929,0
217,34,35,0.00529101903,0
218,34,41,0.00334976194,0
219,34,914,0.00227632611,0
220,34,1425,0.00255293354,0
221,34,1733,0.00514462405,0
222,34,1758,0.00000000000,1
223,35,34,0.00529101903,0
224,35,37,0.00355905785,0
225,35,39,0.00403144395,0
226,35,41,0.00080820237,0
227,35,1425,0.00000000000,1
228,35,1757,0.00214357401,0
229,35,1758,0.00438100405,0
230,36,37,0.00616127816,0
231,36,43,0.00080843608,0
232,36,44,0.00329130421,0
233,36,51,0.00145442719,0
234,36,52,0.00249916175,0
235,36,832,0.00257172586,0
236,36,1757,0.00160250257,0
237,37,35,0.00355905785,0
238,37,36,0.00616127816,0
239,37,39,0.00514380812,0
240,37,43,0.00254560221,0
241,37,1746,0.00080740941,0
242,37,1757,0.00167683179,0
243,38,40,0.00393483869,0
244,38,666,0.00373820910,0
245,38,668,0.00102138306,0
246,38,780,0.00292144076,0
247,38,804,0.00372059290,0
248,39,35,0.00403144395,0
249,39,37,0.00514380812,0
250,39,41,0.00257143830,0
251,39,483,0.00257336250,0
252,39,484,0.00000000000,1
253,39,1745,0.00241942349,0
254,39,1746,0.00161353862,0
255,40,38,0.00393483869,0
256,40,641,0.00328144550,0
257,40,666,0.00102864939,0
258,40,714,0.00000000000,1
259,40,804,0.00349219344,0
260,40,861,0.00399045436,0
261,40,862,0.00299846029,0
262,40,1200,0.00149346179,0
263,41,34,0.00334976194,0
264,41,35,0.00080820237,0
265,41,39,0.00257143830,0
266,41,483,0.00577265795,0
267,41,657,0.00257197470,0
268,41,827,0.00000000000,1
269,41,1733,0.00161559599,0
270,42,484,0.00577282710,0
271,42,1456,0.00257334453,0
272,42,1745,0.00257342206,0
273,42,2060,0.00000000000,1
274,42,2062,0.00577273107,0
275,43,28,0.00000000000,1
276,43,36,0.00080843608,0
277,43,37,0.00254560221,0
278,43,44,0.00595038853,0
279,43,894,0.00000000000,1
280,43,1359,0.00358752558,0
281,43,1746,0.00659847448,0
282,44,36,0.00329130421,0
283,44,43,0.00595038853,0
284,44,831,0.00175536956,0
285,44,832,0.00531054226,0
286,44,894,0.00175308139,0
287,44,1359,0.00000000000,1
288,45,27,0.00344763111,0
289,45,46,0.00631525607,0
290,45,49,0.00242160882,0
291,45,50,0.00000000000,1
292,45,830,0.00080444636,0
293,45,831,0.00000000000,1
294,45,833,0.00694082102,0
295,46,27,0.00172207105,0
296,46,45,0.00631525607,0
297,46,620,0.00172560051,0
298,46,816,0.00569275979,0
299,46,830,0.00161852144,0
300,46,1756,0.00161712449,0
301,47,53,0.00299777844,0
302,47,860,0.00000000000,1
303,47,862,0.00230540294,0
304,47,1199,0.00491838719,0
305,47,1200,0.00284908841,0
306,47,1493,0.00338595894,0
307,47,1791,0.00000000000,1
308,47,1792,0.00618278819,0
309,48,780,0.00000000000,1
310,48,804,0.00374205558,0
311,48,805,0.00404370237,0
312,48,1187,0.00404260731,0
313,48,1848,0.00374296489,0
314,49,45,0.00242160882,0
315,49,50,0.00771952408,0
316,49,116,0.00080947464,0
317,49,830,0.00771974090,0
318,49,833,0.00000000000,1
319,49,1308,0.00161752913,0
320,50,45,0.00000000000,1
321,50,49,0.00771952408,0
322,50,51,0.00772082743,0
323,50,115,0.00080276622,0
324,50,116,0.00162220722,0
325,50,832,0.00000000000,1
326,50,833,0.00242767243,0
327,51,36,0.00145442719,0
328,51,50,0.00772082743,0
329,51,52,0.00625950156,0
330,51,115,0.00242306984,0
331,51,832,0.00241979552,0
332,51,833,0.00000000000,1
333,52,36,0.00249916175,0
334,52,51,0.00625950156,0
335,52,55,0.00287035843,0
336,52,115,0.00286758800,0
337,52,721,0.00248670628,0
338,52,1757,0.00542384507,0
339,53,47,0.00299777844,0
340,53,56,0.00518063528,0
341,53,637,0.00368029932,0
342,53,638,0.00000000000,1
343,53,1199,0.00149426599,0
344,53,1493,0.00382175328,0
345,54,55,0.00081083221,0
346,54,58,0.00775027754,0
347,54,103,0.00000000000,1
348,54,110,0.00248321076,0
349,54,597,0.00050817997,0
350,54,721,0.00425139380,0
351,54,722,0.00617382284,0
352,55,52,0.00287035843,0
353,55,54,0.00081083221,0
354,55,57,0.00801241328,0
355,55,58,0.00160725335,0
356,55,721,0.00514021646,0
357,55,1757,0.00241926352,0
358,56,53,0.00518063528,0
359,56,65,0.00298931876,0
360,56,66,0.00199673398,0
361,56,637,0.00000000000,1
362,56,638,0.00330150773,0
363,56,639,0.00074750363,0
364,56,1493,0.00328695154,0
365,57,55,0.00801241328,0
366,57,58,0.00087153016,0
367,57,59,0.00086671145,0
368,57,61,0.00618330133,0
369,57,1757,0.00291031378,0
370,57,1758,0.00289228795,0
371,58,54,0.00775027754,0
372,58,55,0.00160725335,0
373,58,57,0.00087153016,0
374,58,59,0.00775042059,0
375,58,99,0.00000000000,1
376,58,103,0.00249389060,0
377,58,110,0.00000000000,1
378,59,57,0.00086671145,0
379,59,58,0.00775042059,0
380,59,60,0.00774664425,0
381,59,61,0.00161428144,0
382,59,98,0.00080135103,0
383,59,99,0.00167504502,0
384,59,103,0.00000000000,1
385,60,59,0.00774664425,0
386,60,61,0.00242185287,0
387,60,64,0.00774818047,0
388,60,98,0.00241586592,0
389,61,57,0.00618330133,0
390,61,59,0.00161428144,0
391,61,60,0.00242185287,0
392,61,64,0.00240055443,0
393,61,1425,0.00274441807,0
394,61,1758,0.00294801548,0
395,62,97,0.00000000000,1
396,62,106,0.00533235690,0
397,62,388,0.00258039263,0
398,62,469,0.00539480776,0
